date,turnover
2017-01-06,0.04000064857425256
2017-01-13,0.07543735653704184
2017-01-20,0.031089884082616794
2017-01-27,0.005925153344018127
2017-02-03,0.00404601603121546
2017-02-10,0.0444079262958135
2017-02-17,0.006568111038727122
2017-02-24,0.0061001718467309915
2017-03-03,0.04000307307652907
2017-03-10,0.0011701389540717218
2017-03-17,0.03998572583442301
2017-03-24,0.0017170929254181559
2017-03-31,0.001057906661066566
2017-04-07,0.007142009752531917
2017-04-21,0.0046203344035317204
2017-04-28,2.340051190509053e-05
2017-05-05,0.0019232711269607228
2017-05-12,0.07999722637232307
2017-05-19,0.00595224412174759
2017-05-26,0.0004696365563795405
2017-06-02,0.03218242151265427
2017-06-09,0.006870065698510267
2017-06-16,0.0001242471667171762
2017-06-23,0.0019592319203891994
2017-06-30,0.041231521134804335
2017-07-07,0.04030712700537657
2017-07-14,0.0006626606267426838
2017-07-21,0.009087025496527344
2017-07-28,0.0028274112767675053
2017-08-04,0.0035018150437996116
2017-08-11,0.0012729562676289915
2017-08-18,0.0005256274697775052
2017-08-25,0.08021549470755741
2017-09-01,0.04138298060959852
2017-09-08,0.039975047369735804
2017-09-15,0.003544351771922316
2017-09-22,0.012703016716977537
2017-09-29,0.005511954446826353
2017-10-06,0.004551832219934153
2017-10-13,0.030797659246316358
2017-10-20,0.08001243124647905
2017-10-27,0.13566147832243522
2017-11-03,0.00618901362180521
2017-11-10,0.0187618861265151
2017-11-17,0.003107020206197513
2017-11-24,0.001506883070694234
2017-12-01,0.040037312678128455
2017-12-08,0.07504078849172424
2017-12-15,0.03435805598079394
2017-12-22,0.005324432435182969
2017-12-29,8.575399764019579e-05
2018-01-05,0.044760827928188474
2018-01-12,0.006962629197280594
2018-01-19,0.010553455527810934
2018-01-26,0.13800593826445423
2018-02-02,0.0006383539811564624
2018-02-09,0.007016044344797795
2018-02-16,0.08707490392210626
2018-02-23,0.0029731324011965485
2018-03-02,0.022093929526452977
2018-03-09,0.006639014881619658
2018-03-16,0.08934139421363241
2018-03-23,0.028770405307073695
2018-04-06,0.027286293034488436
2018-04-13,0.00824350567897023
2018-04-20,0.002817857969742175
2018-04-27,0.07181138030064493
2018-05-04,0.08039903872387384
2018-05-11,0.04641609637829479
2018-05-18,0.001517419775910283
2018-05-25,0.06427946782813516
2018-06-01,0.002082125478673655
2018-06-08,0.005213582588052389
2018-06-15,0.0003864459929243284
2018-06-22,0.0014785713193518305
2018-06-29,0.016547160093110757
2018-07-06,0.0005479514231545294
2018-07-13,0.002306649263093065
2018-07-20,0.0049321648615502315
2018-07-27,0.0003527285789416387
2018-08-03,0.000767433229518774
2018-08-10,0.0018801165978288975
2018-08-17,0.007330246970720404
2018-08-24,0.00010983538334588262
2018-08-31,0.0014395454334114753
2018-09-07,0.0006469532523851097
2018-09-14,0.0012179532923256209
2018-09-21,0.0012496513920660065
2018-09-28,0.0010548213192232271
2018-10-05,0.001977627251375622
2018-10-12,0.010902678625839927
2018-10-19,0.056365021502307884
2018-10-26,0.006712941591504186
2018-11-02,0.007181741973870422
2018-11-09,0.07306296761021663
2018-11-16,0.003689950572386226
2018-11-23,0.0010463360576136976
2018-11-30,0.011283901781832141
2018-12-07,0.03999792643211152
2018-12-14,0.0017915302349877432
2018-12-21,0.004393920101300398
2018-12-28,0.024340772031176575
2019-01-04,0.006020989298711315
2019-01-11,0.05604264324925495
2019-01-18,0.07533899571909994
2019-01-25,0.002337596206338072
2019-02-01,0.002878415263723386
2019-02-08,0.012759045210889875
2019-02-15,0.004723746746616417
2019-02-22,0.00023212052821825065
2019-03-01,0.08006487587085433
2019-03-08,0.01275853487511645
2019-03-15,0.07529425155757116
2019-03-22,0.003105682119145987
2019-03-29,0.007337120669660398
2019-04-05,0.00283491970521823
2019-04-12,0.0021139374143191573
2019-04-26,0.08005323151638544
2019-05-03,0.0022582902137234496
2019-05-10,0.04067677731587967
2019-05-17,0.0019190034909772457
2019-05-24,0.002395580944663325
2019-05-31,0.08004003507640729
2019-06-07,0.07858321132652801
2019-06-14,0.001985377609109924
2019-06-21,0.0002868303356587617
2019-06-28,0.022426759615049592
2019-07-05,0.0008872312057712441
2019-07-12,0.023778769241920954
2019-07-19,0.006025889744134878
2019-07-26,0.046749748921461054
2019-08-02,0.002389428075528688
2019-08-09,0.008440510890001007
2019-08-16,0.004375994440114957
2019-08-23,0.05925896453351579
2019-08-30,0.002371497686200929
2019-09-06,0.03343167929766022
2019-09-13,0.0001726112562263576
2019-09-20,0.0015320710866607529
2019-09-27,0.002820661146647324
2019-10-04,0.006000990012121489
2019-10-11,0.02054840910872057
2019-10-18,0.01311240205335994
2019-10-25,0.008014425535179726
2019-11-01,0.010677734397813525
2019-11-08,0.024074769959716993
2019-11-15,0.0005709719142455883
2019-11-22,0.09266563258605579
2019-11-29,0.0033374780747441896
2019-12-06,0.004934790892317055
2019-12-13,0.006164491588337449
2019-12-20,0.0973277190342153
2019-12-27,0.003250292519908547
2020-01-03,0.007529647109449882
2020-01-10,0.05765046279184051
2020-01-17,0.0002075625055196588
2020-01-24,0.0023491688047451364
2020-01-31,0.07683871747316118
2020-02-07,0.0014616892791549326
2020-02-14,0.003989633070614585
2020-02-21,0.0020612408085180145
2020-02-28,0.00252424391993061
2020-03-06,0.013798654143582306
2020-03-13,0.08001112720558927
2020-03-20,0.015933652671494207
2020-03-27,0.025892049981171495
2020-04-03,0.0007439022831007176
2020-04-17,0.013739374145225896
2020-04-24,0.00839741575093589
2020-05-01,0.004745521186336192
2020-05-08,0.0011286849653940468
